id,organisation,question,score,quotes,language
182,50 Welsh Local Government Association WGLA,,0.13,"Essential maintenance of the highway and Active Travel networks and associated structures is vital both on safety and on economic grounds (and to reduce insurance claims), especially in the face of more extreme weather events.",?
183,50 Welsh Local Government Association WGLA,,0.56,Over recent years additional revenue support has been provided by Welsh Government via the Local Government Borrowing Initiative (c£170m to and then a succession of revenue grants at c£20m p.a..,?
184,50 Welsh Local Government Association WGLA,,0.34,In there was an option for highways expenditure as part of a general capital fund allocation of £70m that could be carried forward into by displacement.,?
185,50 Welsh Local Government Association WGLA,,0.13,"However, no grant was awarded for 53.",?
186,50 Welsh Local Government Association WGLA,,0.28,Support for bus services remains a major concern.,?
187,50 Welsh Local Government Association WGLA,,0.18,"With the Bus Transition Fund (BTF) due to end in March 2024, bus services will need to revert to a combination of commercial and subsidised services from 1st April.",?
188,50 Welsh Local Government Association WGLA,,0.21,During underspend on the Concessionary Fares (CF) budget was redirected into to the BTF to support services.,?
189,50 Welsh Local Government Association WGLA,,0.27,"However, with CF trips gradually rising post-Covid, the underspend is anticipated to be less in Whilst the increasing income from CF reimbursement will help operators, uncertainty over income on routes, combined with the need to give statutory notice of service cancellations, creates the risk further of service cuts.",?
190,50 Welsh Local Government Association WGLA,,0.57,An early indication of funding from Welsh Government for next year has been called for.,?
191,50 Welsh Local Government Association WGLA,,0.35,"It is likely that regional allocations will be made in the first instance to facilitate network planning, followed by tendering of subsidised routes by individual councils.",?
192,50 Welsh Local Government Association WGLA,,0.26,It is widely anticipated that tendered costs will be high due to increases in fuel and labour costs in particular.,?
193,50 Welsh Local Government Association WGLA,,0.26,This will also impact on home to school transport costs where significant increases are expected.,?
194,50 Welsh Local Government Association WGLA,,0.28,"Shortages of technical staff and HGV drivers and difficulties recruiting are impacting across all services in these areas, with staff being attracted away by higher salaries in other sectors.",?
195,50 Welsh Local Government Association WGLA,,0.21,"This also impacts on efforts to run apprenticeship schemes to draw in new people, as they can be tempted away once trained.",?
196,50 Welsh Local Government Association WGLA,,0.4,"As the work of, and expectations on, Corporate Joint Committees picks up, this is another source of financial pressure on councils.",?
197,50 Welsh Local Government Association WGLA,,0.09,Work is commencing on Strategic Development Plans and Regional Transport Plans.,?
198,50 Welsh Local Government Association WGLA,,0.42,This needs to be co-ordinated with use of the of economic well-being power (a power which is concurrent with councils).,?
199,50 Welsh Local Government Association WGLA,,0.54,"Welsh Government is planning to provide £125,000 to each region upon the production of RTP implementation plans but all regions have identified that further funding will be needed to take these plans forward in a meaningful way.",?
200,50 Welsh Local Government Association WGLA,,0.23,"New workplace regulations coming in from April 2024, which require the separate presentation of waste streams for collection, will increase costs for schools and council buildings.",?
201,50 Welsh Local Government Association WGLA,,0.4,They could also see councils required to provide separated collections from commercial premises in cases where no private sector service is available.,?
202,50 Welsh Local Government Association WGLA,,0.26,"Increased energy costs have impacted in these service areas, in particular on the costs of waste collection, fleet, energy for buildings and streetlighting.",?
203,50 Welsh Local Government Association WGLA,,0.06,"Ash die-back remains a major risk, especially where trees are adjacent to the highway and need to be removed.",?
204,50 Welsh Local Government Association WGLA,,0.3,Total costs were estimated at nearly £15bn for Great Britain as a whole.,?
205,50 Welsh Local Government Association WGLA,,0.4,"Other than use of a short-term Green Recovery Grant scheme, no additional funding has been made available to councils for this essential work.",?
206,50 Welsh Local Government Association WGLA,,0.1,Capital 59.,?
207,50 Welsh Local Government Association WGLA,,0.44,The survey also gathered evidence on capital programmes and pressures.,?
208,50 Welsh Local Government Association WGLA,,0.27,The responses indicate that a tightened revenue settlement will impact capital programmes.,?
209,50 Welsh Local Government Association WGLA,,0.35,"Across capital programmes we are seeing an increase in costs from when the programme was approved at feasibility stage, to the design and development stage of capital projects, due to the current inflation rates and volatility of the construction market.",?
210,50 Welsh Local Government Association WGLA,,0.18,"With little or no additional funding available, there has been a lot of reprioritising between schemes and scaling back schemes where possible.",?
211,50 Welsh Local Government Association WGLA,,0.33,"In relation to Twentieth Century Schools Band B Programme, many authorities are reporting a reduction in the number of schemes that are now affordable against what was anticipated when the programme was first set in line with the funding envelope.",?
212,50 Welsh Local Government Association WGLA,,0.45,"Following the completion of the Band A and the majority of Band B projects, councils are considering how sustainable it will be to continue to use borrowing, to support its percentage of the intervention rate going forward to the next iteration of the programme, given the impact of borrowing pressures on the Councils Medium Term Financial Strategy (MTFS).",?
213,50 Welsh Local Government Association WGLA,,0.29,Similar rationing will take place for the next WG Sustainable Communities programme.,?
214,50 Welsh Local Government Association WGLA,,0.18,Where grants are withdrawn they carry specific service risks.,?
215,50 Welsh Local Government Association WGLA,,0.33,"For example, the removal of the Public Highways Refurbishment Grant continues to put a significant pressure on the resources councils can allocate to Highway Asset Management Plans.",?
216,50 Welsh Local Government Association WGLA,,0.28,"With the increase in costs and reduced budget, it’s difficult to carried out the amount of work to maintain a steady state of investment required relating to resurfacing, structures, streetlighting and traffic signals.",?
217,50 Welsh Local Government Association WGLA,,-0.01,The impact of market volatility will continue to be monitored closely during this financial year.,?
218,50 Welsh Local Government Association WGLA,,0.16,"The re-profiling of schemes from prior years may affected the delivery works in year, resulting in a high level of carry forward requests to re- phase budgets into the programme.",?
219,50 Welsh Local Government Association WGLA,,0.22,"Additional grant funding from WG is always welcomed and appreciated, however volume of late notification of funding makes it more difficult to displace in year spend with grant.",?
220,50 Welsh Local Government Association WGLA,,0.32,More flexibility around when/how the grant needs to be spent would be beneficial.,?
221,50 Welsh Local Government Association WGLA,,0.53,"This would enable services with planning schemes to deliver value for money, and support with the pressing needs the Council are facing.",?
222,50 Welsh Local Government Association WGLA,,0.53,Any capital funding available for schemes that will help reduced revenue pressure around homelessness and out of county costs would also be welcomed.,?
223,50 Welsh Local Government Association WGLA,,0.37,The main source of funding is the Public Works Loan Board and long-term rates are currently around 5% although there is a lot of volatility in the markets.,?
224,50 Welsh Local Government Association WGLA,,0.35,This is significantly above rates when capital programmes were set in March 2022.,?
225,50 Welsh Local Government Association WGLA,,0.37,"This carries significant risk to affordability and sustainability, particularly in respect of housing schemes and extensive core asset infrastructure assumed to be paid for by borrowing.",?
226,50 Welsh Local Government Association WGLA,,0.13,Climate change 65.,?
227,50 Welsh Local Government Association WGLA,,0.45,Councils have made a number of commitments to contribute towards the target of net zero emissions in the public sector by 2030.,?
228,50 Welsh Local Government Association WGLA,,0.19,Many of the steps required involve capital investment (e.g.,?
229,50 Welsh Local Government Association WGLA,,0.06,"in relation to property and energy, fleet transition, land- based decarbonisation).",?
230,50 Welsh Local Government Association WGLA,,0.32,A wide range of funding streams will be required to make the sort of changes needed at the pace required.,?
231,50 Welsh Local Government Association WGLA,,0.27,That could include borrowing to meet upfront costs that will then have to be repaid from revenue budgets over a number of years.,?
232,50 Welsh Local Government Association WGLA,,0.22,It could also involve leasing or hire (e.g.,?
233,50 Welsh Local Government Association WGLA,,0.06,for vehicles) rather than a capital outlay.,?
234,50 Welsh Local Government Association WGLA,,0.3,"There are workforce implications that will need to be addressed, working with unions in a social partnership approach, including retraining and recruitment in many cases (e.g.",?
235,50 Welsh Local Government Association WGLA,,0.13,vehicle maintenance; energy and environmental management; financial accounting methods).,?
236,50 Welsh Local Government Association WGLA,,0.4,"Current labour shortages in many ‘green’ jobs in councils have highlighted not only the shortage of staff with the required skills but also wage differentials with the private sector, with retention of trained staff a growing issue.",?
237,50 Welsh Local Government Association WGLA,,0.32,"Other important measures relate to procurement, where councils need to reduce ‘Scope 3’ emissions, which relate (amongst other things) to their purchased goods and services.",?
238,50 Welsh Local Government Association WGLA,,0.22,"Where suppliers have developed carbon plans to reduce emissions associated with their goods and services, the direct costs will tend to be higher (although there are compensating environmental, and often social and wider economic benefits – e.g.",?
239,50 Welsh Local Government Association WGLA,,0.19,arising from local purchasing).,?
240,50 Welsh Local Government Association WGLA,,0.54,"At a time of significant financial pressure, it will be a challenge for councils to ‘do the right thing’ as opposed to choosing the most affordable option.",?
241,50 Welsh Local Government Association WGLA,,0.21,There will be a payback from climate change actions (in terms of adaptation as well as mitigation).,?
242,50 Welsh Local Government Association WGLA,,0.56,"However, the issues are, first, the timescales for that payback and, second, that many of the benefits do not accrue to the council in a direct or financial sense.",?
243,50 Welsh Local Government Association WGLA,,0.3,"Rather, they will often contribute to well-being goals for the wider community – for example more local jobs, healthier food, better quality environment, biodiversity gains, greater resilience against future extreme weather events.",?
244,50 Welsh Local Government Association WGLA,,0.17,"The risk is that the necessary measures will be a casualty of current financial pressures causing them to be deferred, whereas ideally, they should be prioritised to ensure timeliness and maximum potential impact.",?
245,50 Welsh Local Government Association WGLA,,0.17,"The Climate Strategy Panel (CSP) has set up four task and finish groups, chaired by Chief Executives, to oversee and drive progress in relation to local government’s commitments towards net zero.",?
246,50 Welsh Local Government Association WGLA,,0.21,"These cover key areas of procurement, transport, land use and buildings.",?
247,50 Welsh Local Government Association WGLA,,0.18,The CSP is also establishing a group to focus on adaptation.,?
248,50 Welsh Local Government Association WGLA,,0.53,"The UK Climate Change Committee has recently produced two important reports on progress in Wales, on mitigation and on adaptation that have financial implications for local government.",?
249,50 Welsh Local Government Association WGLA,,0.54,"On mitigation/reducing emissions it made the following points of relevance to councils (requiring a mix of capital and revenue measures): • Action on decarbonisation overall must accelerate • Progress on waste and recycling, whilst historically good in Wales, has stalled and needs to pick up • Greater effort is needed to transition to use of electric vehicles • There is a need for long term plans to decarbonise public buildings, social housing and fuel-poor homes • Tree planting and peatland restoration rates are too low, requiring capacity building and skills development 70.",?
250,50 Welsh Local Government Association WGLA,,0.47,"On adaptation/improving resilience to climate change it highlighted: • The changing climate has risks for infrastructure, ecosystems, communities and the economy • Around half of the 61 risks and opportunities it has identified for Wales require urgent action before Welsh Government’s next adaption plan is produced in 2024 • There is insufficient progress with implementation of measures and monitoring is poor, making it difficult to evaluate progress • There is a lack of clarity in responsibilities for responding to climate risks across the public sector • Unless climate risks are addressed, other societal goals will not be achieved.",?
251,50 Welsh Local Government Association WGLA,,0.23,The work of the task and finish groups is being informed by the UKCCC work.,?
252,50 Welsh Local Government Association WGLA,,0.32,Much of what needs to be done requires upfront capital and supportive revenue funding.,?
253,50 Welsh Local Government Association WGLA,,0.19,"However, in several cases there will be a financial return on investment as well as the carbon savings.",?
254,50 Welsh Local Government Association WGLA,,0.26,There are also more intangible ‘downstream’ financial savings in terms of preventing future spend having to respond to climate change impacts (e.g.,?
255,50 Welsh Local Government Association WGLA,,0.22,"flooding, damage to infrastructure, road closures, storm damage, health problems etc).",?
256,50 Welsh Local Government Association WGLA,,0.28,"Maintenance budgets are often a casualty at a time of financial constraint, but it will be vital to protect these to provide the resilience that is required.",?
257,50 Welsh Local Government Association WGLA,,0.05,Conclusion 72.,?
258,50 Welsh Local Government Association WGLA,,0.2,"In conclusion, our current estimates of pressures remain exceedingly high.",?
259,50 Welsh Local Government Association WGLA,,0.36,"Without further funding, local authorities face impossible decisions.",?
260,50 Welsh Local Government Association WGLA,,0.37,Any return to austerity would be disastrous for the preventative services that local government provides and the people who rely on them.,?
261,50 Welsh Local Government Association WGLA,,0.46,It would be catastrophic for the NHS which relies on a well-funded care system and utterly demoralising for our workforce.,?
262,50 Welsh Local Government Association WGLA,,0.41,"Over the past couple of months there has been renewed interest in the financial resilience of local authorities, especially with some high-profile examples of failure in England.",?
263,50 Welsh Local Government Association WGLA,,0.03,"According CIPFA, the causes of failure can be complex with a single event tipping some to issue s114 notices.",?
264,50 Welsh Local Government Association WGLA,,0.33,"However, it is clear to us that austerity and the ongoing funding reductions are a consistent underlying casual factor.",?
265,50 Welsh Local Government Association WGLA,,0.3,There is growing awareness and interest among our own membership in the issue and what can be done to prevent financial failure.,?
266,50 Welsh Local Government Association WGLA,,0.54,Last week the Welsh Government announced a series of budget measures to address the in-year problem that has built up.,?
267,50 Welsh Local Government Association WGLA,,0.49,"While we remain concerned about how this could spill over into we are grateful that the Minister has protected local services and we continue to welcome the partnership approach that we have forged with Welsh Government, and the close working relationship that has developed in recent years between ministers and leaders.",?
268,50 Welsh Local Government Association WGLA,,0.21,We are committed to continuing with that approach to protect our shared priorities from the worst effects of the economic headwinds to come.,?
269,50 Welsh Local Government Association WGLA,,0.35,"Cleared by: Councillor Anthony Hunt, WLGA Finance Spokesperson Authors: Jon Rae, Director of Resources Nathan Gardner, Finance Manager E-mail: ANNEX I In-year projected financial pressures (in excess of budget) £000s A.",?
270,50 Welsh Local Government Association WGLA,,0.41,"Local Authority Related (excluding schools and social services) Pay inflation pressures 17,078 Non pay inflation pressure 12,901 Inflation (Stand Still) pressures 29,979 Financial pressures a.",?
271,50 Welsh Local Government Association WGLA,,0.19,"Demand related pressures 28,543 b.",?
272,50 Welsh Local Government Association WGLA,,0.21,"Capital financing pressures - 2,218 c.",?
273,50 Welsh Local Government Association WGLA,,0.18,"Reduction in specific grants 2,013 d.",?
274,50 Welsh Local Government Association WGLA,,0.3,"Local priorities 1,002 e.",?
275,50 Welsh Local Government Association WGLA,,0.23,"Other 3,664 LA Budget Pressures 33,004 Total LA Related 62,983 B.",?
276,50 Welsh Local Government Association WGLA,,0.22,"Schools Pay inflation pressures 10,064 Non pay inflation pressure 10,875 Fees/Charges inflation (positive) Inflation (Stand Still) pressures 20,939 Financial pressures a.",?
277,50 Welsh Local Government Association WGLA,,0.21,"Demand related pressures 22,269 b.",?
278,50 Welsh Local Government Association WGLA,,0.26,Capital financing pressures - c.,?
279,50 Welsh Local Government Association WGLA,,0.19,Reduction in specific grants 484 d.,?
280,50 Welsh Local Government Association WGLA,,0.31,Local priorities 100 e.,?
281,50 Welsh Local Government Association WGLA,,0.4,"Other 3,588 Total Schoos Pressures 26,441 Total Schools 47,380 In-year projected financial pressures (cont.) £000s C.",?
282,50 Welsh Local Government Association WGLA,,0.51,"Social Services Pay inflation pressures 5,281 Commissioning Cost Pressures - Adults' 7,887 Commissioning Cost Pressures - Children's 5,314 Non pay inflation pressure 3,866 Inflation (Stand Still) pressures 22,348 Financial pressures a.",?
283,50 Welsh Local Government Association WGLA,,0.45,"Demand related pressures Adults Services Domiciliary Care (incl supported living) 15,209 Residential Placements 20,578 Other 9,896 Childrens Services Domiciliary Care 4,052 Residential Placements 26,427 Foster Care 2,132 Other 8,119 Total Social Services Budget Pressures 86,412 Total SC Pressures 108,761 Total projected financial pressures (A+B+C) 219,123 ANNEX II Projected financial pressures, to A.",?
284,50 Welsh Local Government Association WGLA,,0.35,"Local Authority Related (excluding schools and social services) Pay inflation pressures 109,550 82,457 83,391 Non pay inflation pressure 68,231 53,844 55,921 Fees/Charges inflation (positive) LA Inflation (Stand Still) pressures 177,780 136,301 139,313 Budget pressures a.",?
285,50 Welsh Local Government Association WGLA,,0.2,"Demand related pressures 49,074 28,308 30,858 b.",?
286,50 Welsh Local Government Association WGLA,,0.22,"Capital financing pressures 29,199 18,402 13,314 c.",?
287,50 Welsh Local Government Association WGLA,,0.15,"Reduction in specific grants 2,418 4,536 2,870 d.",?
288,50 Welsh Local Government Association WGLA,,0.24,"Local priorities 1,857 899 1,538 e.",?
289,50 Welsh Local Government Association WGLA,,0.15,"Other 34,896 6,530 7,670 LA budget pressures 117,443 58,675 56,250 Total LA-related 295,223 194,976 195,563 B.",?
290,50 Welsh Local Government Association WGLA,,0.22,"Schools Pay inflation pressures 115,656 101,097 100,866 Non pay inflation pressure 29,400 17,862 18,268 Inflation (Stand Still) pressures 145,055 118,959 119,134 Budget pressures a.",?
291,50 Welsh Local Government Association WGLA,,0.16,"Demand related pressures 8,479 10,917 9,232 b.",?
292,50 Welsh Local Government Association WGLA,,0.19,"Capital financing pressures 633 2,243 1,351 c.",?
293,50 Welsh Local Government Association WGLA,,0.14,"Reduction in specific grants 1,528 282 20 d.",?
294,50 Welsh Local Government Association WGLA,,0.2,"Local priorities 1,357 546 387 e.",?
295,50 Welsh Local Government Association WGLA,,0.26,"Other 6,853 942 673 Total Schools Budget Pressures 18,849 14,930 11,663 Total Schools 163,905 133,890 130,797 Projected financial pressures, to (cont.) C.",?
296,50 Welsh Local Government Association WGLA,,0.5,"Social Services Pay inflation pressures 41,944 34,156 34,546 Commissioning Cost Pressures - Adults' 83,894 69,689 77,665 Commissioning Cost Pressures - Children's 20,308 16,854 18,244 Non pay inflation pressure 27,377 19,991 20,265 Fees/Charges inflation (positive) Inflation (Stand Still) pressures 173,523 140,690 150,720 Budget pressures a.",?
297,50 Welsh Local Government Association WGLA,,0.35,"Demand related pressures Adults Services Domiciliary Care (incl supported living) 21,008 13,568 13,335 Residential Placements 15,869 10,049 12,121 Other 10,358 2,504 2,755 Childrens Services Domiciliary Care 976 - - Residential Placements 26,171 10,189 9,666 Foster Care 862 699 942 Other 6,202 1,465 1,629 b.",?
298,50 Welsh Local Government Association WGLA,,0.26,Capital financing pressures - - - c.,?
299,50 Welsh Local Government Association WGLA,,0.13,"Reduction in specific grants 3,047 6,383 4,753 d.",?
300,50 Welsh Local Government Association WGLA,,0.21,Local priorities 500 127 218 e.,?
301,50 Welsh Local Government Association WGLA,,0.42,"Other 2,621 1,405 1,649 Total SC Budget Pressures 87,613 46,389 47,068 Total Social Services 261,136 187,079 197,788 Total Pressures 720,264 515,945 524,147",?
